id,commonName,placeType,lat,lon
BikePoints_338,"Wellington Street , Strand",BikePoint,51.511756,-0.119643
BikePoints_340,"Bank of England Museum, Bank",BikePoint,51.514441,-0.087587
BikePoints_341,"Craven Street, Strand",BikePoint,51.508103,-0.126021
BikePoints_343,"London Zoo Car Park, The Regent's Park",BikePoint,51.536922,-0.150181
BikePoints_344,"Goswell Road (City Uni), Finsbury",BikePoint,51.528246,-0.101026
BikePoints_345,"Flood Street, Chelsea",BikePoint,51.488023,-0.166878
BikePoints_348,"Grosvenor Square, Mayfair",BikePoint,51.51217,-0.150481
BikePoints_349,"St. George Street, Mayfair",BikePoint,51.51196,-0.142783
BikePoints_350,"Queen's Gate, Kensington Gardens",BikePoint,51.501715,-0.179854
BikePoints_351,"Macclesfield Rd, St Lukes",BikePoint,51.529423,-0.097122
BikePoints_352,"Vauxhall Street, Vauxhall",BikePoint,51.486965,-0.116625
BikePoints_353,"Greycoat Street , Westminster",BikePoint,51.494591,-0.134234
BikePoints_354,"Northumberland Avenue, Strand",BikePoint,51.506767,-0.123702
BikePoints_355,"Clapham Common Station, Clapham Common",BikePoint,51.461388,-0.139221
BikePoints_356,"South Kensington Station, South Kensington",BikePoint,51.494412,-0.173881
BikePoints_357,"Howland Street, Fitzrovia",BikePoint,51.520994,-0.139016
BikePoints_358,"High Holborn , Covent Garden",BikePoint,51.516226,-0.124826
BikePoints_359,"Butler Place, Westminster",BikePoint,51.497829,-0.13544
BikePoints_360,"Howick Place, Westminster",BikePoint,51.496753,-0.138733
BikePoints_361,"Waterloo Station 2, Waterloo",BikePoint,51.503919,-0.113426
BikePoints_362,"Royal College Street, Camden Town",BikePoint,51.536264,-0.133952
BikePoints_363,"Lord's, St. John's Wood",BikePoint,51.529121,-0.171185
BikePoints_364,"Store Street, Bloomsbury",BikePoint,51.519572,-0.13214
BikePoints_365,"City Road, Angel",BikePoint,51.530344,-0.100168
BikePoints_366,"Millennium Hotel, Mayfair",BikePoint,51.510919,-0.151126
BikePoints_367,"Harrowby Street, Marylebone",BikePoint,51.517372,-0.164207
BikePoints_368,"Harriet Street, Knightsbridge",BikePoint,51.500241,-0.15934
BikePoints_370,"Paddington Green, Paddington",BikePoint,51.520205,-0.174593
BikePoints_371,"King Edward Walk, Waterloo",BikePoint,51.49775,-0.10988
BikePoints_372,"Sardinia Street, Holborn",BikePoint,51.515208,-0.117863
BikePoints_373,"Prince Consort Road, Knightsbridge",BikePoint,51.499806,-0.176415
BikePoints_374,"Waterloo Station 1, Waterloo",BikePoint,51.504027,-0.113864
BikePoints_375,"Kensington Town Hall, Kensington",BikePoint,51.501945,-0.194392
BikePoints_376,"Millbank Tower, Pimlico",BikePoint,51.491884,-0.125674
BikePoints_377,"Waterloo Bridge, South Bank",BikePoint,51.505354,-0.113656
BikePoints_378,"Natural History Museum, South Kensington",BikePoint,51.495592,-0.179077
