ubicacion_key,cod_distrito,distrito,localizacion,tipo_via,via,numero,cp
245,18,VILLA DE VALLECAS,"CTRA. VILLAVERDE A VALLECAS, 260",,,260,
246,2,ARGANZUELA,"RONDA. SEGOVIA, 4",,,4,
247,19,VICÁLVARO,"CALL. CALAHORRA, 10",,,10,
248,2,ARGANZUELA,"CALL. MELILLA, 7",,,7,
249,15,CIUDAD LINEAL,"AUTOV. M-30, 03XC79 TRANSFER DE CENTRAL A LATERAL",,,03XC79,
250,8,FUENCARRAL-EL PARDO,"CALL. VALENCIA DE DON JUAN, 16",,,16,
251,11,CARABANCHEL,CALL. ALEJANDRO MORAN / CALL. JUAN FRANCISCO,,,11,
252,10,LATINA,AVDA. LAS AGUILAS / AVDA. POBLADOS,,,2A,
253,7,CHAMBERÍ,CALL. FERNANDEZ DE LA HOZ / CALL. BRETON DE LOS HERREROS,,,74,
254,20,SAN BLAS-CANILLEJAS,"CALL. ARCOS DE JALON, 12",,,12,
255,1,CENTRO,"CALL. CAVA DE SAN MIGUEL, 17",,,17,
256,5,CHAMARTÍN,CALL. PRINCIPE DE VERGARA / CALL. SERRANO,,,227,
257,10,LATINA,PASEO. JESUITAS / CALL. NAVAS DEL REY,,,55,
258,8,FUENCARRAL-EL PARDO,CALL. AMADEO GOMEZ / CALL. JOAQUIN LORENZO,,,2,
259,3,RETIRO,"AVDA. MEDITERRANEO, 15",,,15,
260,21,BARAJAS,"AVDA. LOGROÑO, 128",,,128,
261,15,CIUDAD LINEAL,CALL. FERNANDO GABRIEL / CALL. ARRIAGA,,,1,
262,2,ARGANZUELA,M30 KM14NL 56,,,0,
263,14,MORATALAZ,"CALL. ARROYO DE LA MEDIA LEGUA, 5",,,5,
264,6,TETUÁN,CALL. CAPITAN BLANCO ARGIBAY / CALL. SINESIO DELGADO,,,210,
265,12,USERA,CALL. DOCTOR TOLOSA LATOUR / CALLE CRISTO DE LA VEGA,,,1,
266,4,SALAMANCA,"AVDA. TOREROS, 26",,,26,
267,6,TETUÁN,"CALL. JUAN DE OLIAS, 39",,,39,
